seatId,sectionId,rowNumber,seatNumber,seatType,status,version
SEC_STD01_A_R02_S30,SEC_STD01_A,2,R02-S30,VIP,BOOKED,0
SEC_STD01_A_R02_S31,SEC_STD01_A,2,R02-S31,VIP,BOOKED,0
SEC_STD01_A_R02_S32,SEC_STD01_A,2,R02-S32,VIP,BOOKED,0
SEC_STD01_A_R02_S33,SEC_STD01_A,2,R02-S33,VIP,BOOKED,0
SEC_STD01_A_R02_S34,SEC_STD01_A,2,R02-S34,VIP,BOOKED,0
SEC_STD01_A_R02_S35,SEC_STD01_A,2,R02-S35,VIP,BOOKED,0
SEC_STD01_A_R02_S36,SEC_STD01_A,2,R02-S36,VIP,BOOKED,0
SEC_STD01_A_R02_S37,SEC_STD01_A,2,R02-S37,VIP,BOOKED,0
SEC_STD01_A_R02_S38,SEC_STD01_A,2,R02-S38,VIP,BOOKED,0
SEC_STD01_A_R02_S39,SEC_STD01_A,2,R02-S39,VIP,BOOKED,0
SEC_STD01_A_R02_S40,SEC_STD01_A,2,R02-S40,VIP,BOOKED,0
SEC_STD01_A_R02_S41,SEC_STD01_A,2,R02-S41,VIP,BOOKED,0
SEC_STD01_A_R02_S42,SEC_STD01_A,2,R02-S42,VIP,BOOKED,0
SEC_STD01_A_R02_S43,SEC_STD01_A,2,R02-S43,VIP,BOOKED,0
SEC_STD01_A_R02_S44,SEC_STD01_A,2,R02-S44,VIP,BOOKED,0
SEC_STD01_A_R02_S45,SEC_STD01_A,2,R02-S45,VIP,BOOKED,0
SEC_STD01_A_R02_S46,SEC_STD01_A,2,R02-S46,VIP,BOOKED,0
SEC_STD01_A_R02_S47,SEC_STD01_A,2,R02-S47,VIP,BOOKED,0
SEC_STD01_A_R02_S48,SEC_STD01_A,2,R02-S48,VIP,BOOKED,0
SEC_STD01_A_R02_S49,SEC_STD01_A,2,R02-S49,VIP,BOOKED,0
SEC_STD01_A_R02_S50,SEC_STD01_A,2,R02-S50,VIP,BOOKED,0
SEC_STD01_A_R02_S51,SEC_STD01_A,2,R02-S51,VIP,BOOKED,0
SEC_STD01_A_R02_S52,SEC_STD01_A,2,R02-S52,VIP,BOOKED,0
SEC_STD01_A_R02_S53,SEC_STD01_A,2,R02-S53,VIP,BOOKED,0
SEC_STD01_A_R02_S54,SEC_STD01_A,2,R02-S54,VIP,BOOKED,0
SEC_STD01_A_R02_S55,SEC_STD01_A,2,R02-S55,VIP,BOOKED,0
SEC_STD01_A_R02_S56,SEC_STD01_A,2,R02-S56,VIP,BOOKED,0
SEC_STD01_A_R02_S57,SEC_STD01_A,2,R02-S57,VIP,BOOKED,0
SEC_STD01_A_R02_S58,SEC_STD01_A,2,R02-S58,VIP,BOOKED,0
SEC_STD01_A_R02_S59,SEC_STD01_A,2,R02-S59,VIP,BOOKED,0
SEC_STD01_A_R02_S60,SEC_STD01_A,2,R02-S60,VIP,BOOKED,0
SEC_STD01_A_R03_S01,SEC_STD01_A,3,R03-S01,VIP,BOOKED,0
SEC_STD01_A_R03_S02,SEC_STD01_A,3,R03-S02,VIP,BOOKED,0
SEC_STD01_A_R03_S03,SEC_STD01_A,3,R03-S03,VIP,BOOKED,0
SEC_STD01_A_R03_S04,SEC_STD01_A,3,R03-S04,VIP,BOOKED,0
SEC_STD01_A_R03_S05,SEC_STD01_A,3,R03-S05,VIP,BOOKED,0
SEC_STD01_A_R03_S06,SEC_STD01_A,3,R03-S06,VIP,BOOKED,0
SEC_STD01_A_R03_S07,SEC_STD01_A,3,R03-S07,VIP,BOOKED,0
SEC_STD01_A_R03_S08,SEC_STD01_A,3,R03-S08,VIP,BOOKED,0
SEC_STD01_A_R03_S09,SEC_STD01_A,3,R03-S09,VIP,BOOKED,0
SEC_STD01_A_R03_S10,SEC_STD01_A,3,R03-S10,VIP,BOOKED,0
SEC_STD01_A_R03_S11,SEC_STD01_A,3,R03-S11,VIP,BOOKED,0
SEC_STD01_A_R03_S12,SEC_STD01_A,3,R03-S12,VIP,BOOKED,0
SEC_STD01_A_R03_S13,SEC_STD01_A,3,R03-S13,VIP,BOOKED,0
SEC_STD01_A_R03_S14,SEC_STD01_A,3,R03-S14,VIP,BOOKED,0
SEC_STD01_A_R03_S15,SEC_STD01_A,3,R03-S15,VIP,BOOKED,0
SEC_STD01_A_R03_S16,SEC_STD01_A,3,R03-S16,VIP,BOOKED,0
SEC_STD01_A_R03_S17,SEC_STD01_A,3,R03-S17,VIP,BOOKED,0
SEC_STD01_A_R03_S18,SEC_STD01_A,3,R03-S18,VIP,BOOKED,0
SEC_STD01_A_R03_S19,SEC_STD01_A,3,R03-S19,VIP,BOOKED,0
SEC_STD01_A_R03_S20,SEC_STD01_A,3,R03-S20,VIP,BOOKED,0
SEC_STD01_A_R03_S21,SEC_STD01_A,3,R03-S21,VIP,BOOKED,0
SEC_STD01_A_R03_S22,SEC_STD01_A,3,R03-S22,VIP,BOOKED,0
SEC_STD01_A_R03_S23,SEC_STD01_A,3,R03-S23,VIP,BOOKED,0
SEC_STD01_A_R03_S24,SEC_STD01_A,3,R03-S24,VIP,BOOKED,0
SEC_STD01_A_R03_S25,SEC_STD01_A,3,R03-S25,VIP,BOOKED,0
SEC_STD01_A_R03_S26,SEC_STD01_A,3,R03-S26,VIP,BOOKED,0
SEC_STD01_A_R03_S27,SEC_STD01_A,3,R03-S27,VIP,BOOKED,0
SEC_STD01_A_R03_S28,SEC_STD01_A,3,R03-S28,VIP,BOOKED,0
SEC_STD01_A_R03_S29,SEC_STD01_A,3,R03-S29,VIP,BOOKED,0
SEC_STD01_A_R03_S30,SEC_STD01_A,3,R03-S30,VIP,BOOKED,0
SEC_STD01_A_R03_S31,SEC_STD01_A,3,R03-S31,VIP,BOOKED,0
SEC_STD01_A_R03_S32,SEC_STD01_A,3,R03-S32,VIP,BOOKED,0
SEC_STD01_A_R03_S33,SEC_STD01_A,3,R03-S33,VIP,AVAILABLE,0
SEC_STD01_A_R03_S34,SEC_STD01_A,3,R03-S34,VIP,AVAILABLE,0
SEC_STD01_A_R03_S35,SEC_STD01_A,3,R03-S35,VIP,AVAILABLE,0
SEC_STD01_A_R03_S36,SEC_STD01_A,3,R03-S36,VIP,AVAILABLE,0
SEC_STD01_A_R03_S37,SEC_STD01_A,3,R03-S37,VIP,AVAILABLE,0
SEC_STD01_A_R03_S38,SEC_STD01_A,3,R03-S38,VIP,AVAILABLE,0
SEC_STD01_A_R03_S39,SEC_STD01_A,3,R03-S39,VIP,AVAILABLE,0
SEC_STD01_A_R03_S40,SEC_STD01_A,3,R03-S40,VIP,AVAILABLE,0
SEC_STD01_A_R03_S41,SEC_STD01_A,3,R03-S41,VIP,AVAILABLE,0
SEC_STD01_A_R03_S42,SEC_STD01_A,3,R03-S42,VIP,AVAILABLE,0
SEC_STD01_A_R03_S43,SEC_STD01_A,3,R03-S43,VIP,AVAILABLE,0
SEC_STD01_A_R03_S44,SEC_STD01_A,3,R03-S44,VIP,AVAILABLE,0
SEC_STD01_A_R03_S45,SEC_STD01_A,3,R03-S45,VIP,AVAILABLE,0
SEC_STD01_A_R03_S46,SEC_STD01_A,3,R03-S46,VIP,AVAILABLE,0
SEC_STD01_A_R03_S47,SEC_STD01_A,3,R03-S47,VIP,AVAILABLE,0
SEC_STD01_A_R03_S48,SEC_STD01_A,3,R03-S48,VIP,AVAILABLE,0
SEC_STD01_A_R03_S49,SEC_STD01_A,3,R03-S49,VIP,AVAILABLE,0
SEC_STD01_A_R03_S50,SEC_STD01_A,3,R03-S50,VIP,AVAILABLE,0
SEC_STD01_A_R03_S51,SEC_STD01_A,3,R03-S51,VIP,AVAILABLE,0
SEC_STD01_A_R03_S52,SEC_STD01_A,3,R03-S52,VIP,AVAILABLE,0
SEC_STD01_A_R03_S53,SEC_STD01_A,3,R03-S53,VIP,AVAILABLE,0
SEC_STD01_A_R03_S54,SEC_STD01_A,3,R03-S54,VIP,AVAILABLE,0
SEC_STD01_A_R03_S55,SEC_STD01_A,3,R03-S55,VIP,AVAILABLE,0
SEC_STD01_A_R03_S56,SEC_STD01_A,3,R03-S56,VIP,AVAILABLE,0
SEC_STD01_A_R03_S57,SEC_STD01_A,3,R03-S57,VIP,AVAILABLE,0
SEC_STD01_A_R03_S58,SEC_STD01_A,3,R03-S58,VIP,AVAILABLE,0
SEC_STD01_A_R03_S59,SEC_STD01_A,3,R03-S59,VIP,AVAILABLE,0
SEC_STD01_A_R03_S60,SEC_STD01_A,3,R03-S60,VIP,AVAILABLE,0
SEC_STD01_A_R04_S01,SEC_STD01_A,4,R04-S01,VIP,AVAILABLE,0
SEC_STD01_A_R04_S02,SEC_STD01_A,4,R04-S02,VIP,AVAILABLE,0
SEC_STD01_A_R04_S03,SEC_STD01_A,4,R04-S03,VIP,AVAILABLE,0
SEC_STD01_A_R04_S04,SEC_STD01_A,4,R04-S04,VIP,AVAILABLE,0
SEC_STD01_A_R04_S05,SEC_STD01_A,4,R04-S05,VIP,AVAILABLE,0
SEC_STD01_A_R04_S06,SEC_STD01_A,4,R04-S06,VIP,AVAILABLE,0
SEC_STD01_A_R04_S07,SEC_STD01_A,4,R04-S07,VIP,AVAILABLE,0
SEC_STD01_A_R04_S08,SEC_STD01_A,4,R04-S08,VIP,AVAILABLE,0
SEC_STD01_A_R04_S09,SEC_STD01_A,4,R04-S09,VIP,AVAILABLE,0
SEC_STD01_A_R04_S10,SEC_STD01_A,4,R04-S10,VIP,AVAILABLE,0
SEC_STD01_A_R04_S11,SEC_STD01_A,4,R04-S11,VIP,AVAILABLE,0
SEC_STD01_A_R04_S12,SEC_STD01_A,4,R04-S12,VIP,AVAILABLE,0
SEC_STD01_A_R04_S13,SEC_STD01_A,4,R04-S13,VIP,AVAILABLE,0
SEC_STD01_A_R04_S14,SEC_STD01_A,4,R04-S14,VIP,AVAILABLE,0
SEC_STD01_A_R04_S15,SEC_STD01_A,4,R04-S15,VIP,AVAILABLE,0
SEC_STD01_A_R04_S16,SEC_STD01_A,4,R04-S16,VIP,AVAILABLE,0
SEC_STD01_A_R04_S17,SEC_STD01_A,4,R04-S17,VIP,AVAILABLE,0
SEC_STD01_A_R04_S18,SEC_STD01_A,4,R04-S18,VIP,AVAILABLE,0
SEC_STD01_A_R04_S19,SEC_STD01_A,4,R04-S19,VIP,AVAILABLE,0
SEC_STD01_A_R04_S20,SEC_STD01_A,4,R04-S20,VIP,AVAILABLE,0
SEC_STD01_A_R04_S21,SEC_STD01_A,4,R04-S21,VIP,AVAILABLE,0
SEC_STD01_A_R04_S22,SEC_STD01_A,4,R04-S22,VIP,AVAILABLE,0
SEC_STD01_A_R04_S23,SEC_STD01_A,4,R04-S23,VIP,AVAILABLE,0
SEC_STD01_A_R04_S24,SEC_STD01_A,4,R04-S24,VIP,AVAILABLE,0
SEC_STD01_A_R04_S25,SEC_STD01_A,4,R04-S25,VIP,AVAILABLE,0
SEC_STD01_A_R04_S26,SEC_STD01_A,4,R04-S26,VIP,AVAILABLE,0
SEC_STD01_A_R04_S27,SEC_STD01_A,4,R04-S27,VIP,AVAILABLE,0
SEC_STD01_A_R04_S28,SEC_STD01_A,4,R04-S28,VIP,AVAILABLE,0
SEC_STD01_A_R04_S29,SEC_STD01_A,4,R04-S29,VIP,AVAILABLE,0
SEC_STD01_A_R04_S30,SEC_STD01_A,4,R04-S30,VIP,AVAILABLE,0
SEC_STD01_A_R04_S31,SEC_STD01_A,4,R04-S31,VIP,AVAILABLE,0
SEC_STD01_A_R04_S32,SEC_STD01_A,4,R04-S32,VIP,AVAILABLE,0
SEC_STD01_A_R04_S33,SEC_STD01_A,4,R04-S33,VIP,AVAILABLE,0
SEC_STD01_A_R04_S34,SEC_STD01_A,4,R04-S34,VIP,AVAILABLE,0
SEC_STD01_A_R04_S35,SEC_STD01_A,4,R04-S35,VIP,AVAILABLE,0
SEC_STD01_A_R04_S36,SEC_STD01_A,4,R04-S36,VIP,AVAILABLE,0
SEC_STD01_A_R04_S37,SEC_STD01_A,4,R04-S37,VIP,AVAILABLE,0
SEC_STD01_A_R04_S38,SEC_STD01_A,4,R04-S38,VIP,AVAILABLE,0
SEC_STD01_A_R04_S39,SEC_STD01_A,4,R04-S39,VIP,AVAILABLE,0
SEC_STD01_A_R04_S40,SEC_STD01_A,4,R04-S40,VIP,AVAILABLE,0
SEC_STD01_A_R04_S41,SEC_STD01_A,4,R04-S41,VIP,AVAILABLE,0
SEC_STD01_A_R04_S42,SEC_STD01_A,4,R04-S42,VIP,AVAILABLE,0
SEC_STD01_A_R04_S43,SEC_STD01_A,4,R04-S43,VIP,AVAILABLE,0
SEC_STD01_A_R04_S44,SEC_STD01_A,4,R04-S44,VIP,AVAILABLE,0
SEC_STD01_A_R04_S45,SEC_STD01_A,4,R04-S45,VIP,AVAILABLE,0
SEC_STD01_A_R04_S46,SEC_STD01_A,4,R04-S46,VIP,AVAILABLE,0
SEC_STD01_A_R04_S47,SEC_STD01_A,4,R04-S47,VIP,AVAILABLE,0
SEC_STD01_A_R04_S48,SEC_STD01_A,4,R04-S48,VIP,AVAILABLE,0
SEC_STD01_A_R04_S49,SEC_STD01_A,4,R04-S49,VIP,AVAILABLE,0
SEC_STD01_A_R04_S50,SEC_STD01_A,4,R04-S50,VIP,AVAILABLE,0
SEC_STD01_A_R04_S51,SEC_STD01_A,4,R04-S51,VIP,AVAILABLE,0
SEC_STD01_A_R04_S52,SEC_STD01_A,4,R04-S52,VIP,AVAILABLE,0
SEC_STD01_A_R04_S53,SEC_STD01_A,4,R04-S53,VIP,AVAILABLE,0
SEC_STD01_A_R04_S54,SEC_STD01_A,4,R04-S54,VIP,AVAILABLE,0
SEC_STD01_A_R04_S55,SEC_STD01_A,4,R04-S55,VIP,AVAILABLE,0
SEC_STD01_A_R04_S56,SEC_STD01_A,4,R04-S56,VIP,AVAILABLE,0
SEC_STD01_A_R04_S57,SEC_STD01_A,4,R04-S57,VIP,AVAILABLE,0
SEC_STD01_A_R04_S58,SEC_STD01_A,4,R04-S58,VIP,AVAILABLE,0
SEC_STD01_A_R04_S59,SEC_STD01_A,4,R04-S59,VIP,AVAILABLE,0
SEC_STD01_A_R04_S60,SEC_STD01_A,4,R04-S60,VIP,AVAILABLE,0
SEC_STD01_A_R05_S01,SEC_STD01_A,5,R05-S01,VIP,AVAILABLE,0
SEC_STD01_A_R05_S02,SEC_STD01_A,5,R05-S02,VIP,AVAILABLE,0
SEC_STD01_A_R05_S03,SEC_STD01_A,5,R05-S03,VIP,AVAILABLE,0
SEC_STD01_A_R05_S04,SEC_STD01_A,5,R05-S04,VIP,AVAILABLE,0
SEC_STD01_A_R05_S05,SEC_STD01_A,5,R05-S05,VIP,AVAILABLE,0
SEC_STD01_A_R05_S06,SEC_STD01_A,5,R05-S06,VIP,AVAILABLE,0
SEC_STD01_A_R05_S07,SEC_STD01_A,5,R05-S07,VIP,AVAILABLE,0
SEC_STD01_A_R05_S08,SEC_STD01_A,5,R05-S08,VIP,AVAILABLE,0
SEC_STD01_A_R05_S09,SEC_STD01_A,5,R05-S09,VIP,AVAILABLE,0
SEC_STD01_A_R05_S10,SEC_STD01_A,5,R05-S10,VIP,AVAILABLE,0
SEC_STD01_A_R05_S11,SEC_STD01_A,5,R05-S11,VIP,AVAILABLE,0
SEC_STD01_A_R05_S12,SEC_STD01_A,5,R05-S12,VIP,AVAILABLE,0
SEC_STD01_A_R05_S13,SEC_STD01_A,5,R05-S13,VIP,AVAILABLE,0
SEC_STD01_A_R05_S14,SEC_STD01_A,5,R05-S14,VIP,AVAILABLE,0
SEC_STD01_A_R05_S15,SEC_STD01_A,5,R05-S15,VIP,AVAILABLE,0
SEC_STD01_A_R05_S16,SEC_STD01_A,5,R05-S16,VIP,AVAILABLE,0
SEC_STD01_A_R05_S17,SEC_STD01_A,5,R05-S17,VIP,AVAILABLE,0
SEC_STD01_A_R05_S18,SEC_STD01_A,5,R05-S18,VIP,AVAILABLE,0
SEC_STD01_A_R05_S19,SEC_STD01_A,5,R05-S19,VIP,AVAILABLE,0
SEC_STD01_A_R05_S20,SEC_STD01_A,5,R05-S20,VIP,AVAILABLE,0
SEC_STD01_A_R05_S21,SEC_STD01_A,5,R05-S21,VIP,AVAILABLE,0
SEC_STD01_A_R05_S22,SEC_STD01_A,5,R05-S22,VIP,AVAILABLE,0
SEC_STD01_A_R05_S23,SEC_STD01_A,5,R05-S23,VIP,AVAILABLE,0
SEC_STD01_A_R05_S24,SEC_STD01_A,5,R05-S24,VIP,AVAILABLE,0
SEC_STD01_A_R05_S25,SEC_STD01_A,5,R05-S25,VIP,AVAILABLE,0
SEC_STD01_A_R05_S26,SEC_STD01_A,5,R05-S26,VIP,AVAILABLE,0
SEC_STD01_A_R05_S27,SEC_STD01_A,5,R05-S27,VIP,AVAILABLE,0
SEC_STD01_A_R05_S28,SEC_STD01_A,5,R05-S28,VIP,AVAILABLE,0
SEC_STD01_A_R05_S29,SEC_STD01_A,5,R05-S29,VIP,AVAILABLE,0
SEC_STD01_A_R05_S30,SEC_STD01_A,5,R05-S30,VIP,AVAILABLE,0
SEC_STD01_A_R05_S31,SEC_STD01_A,5,R05-S31,VIP,AVAILABLE,0
SEC_STD01_A_R05_S32,SEC_STD01_A,5,R05-S32,VIP,AVAILABLE,0
SEC_STD01_A_R05_S33,SEC_STD01_A,5,R05-S33,VIP,AVAILABLE,0
SEC_STD01_A_R05_S34,SEC_STD01_A,5,R05-S34,VIP,AVAILABLE,0
SEC_STD01_A_R05_S35,SEC_STD01_A,5,R05-S35,VIP,AVAILABLE,0
SEC_STD01_A_R05_S36,SEC_STD01_A,5,R05-S36,VIP,AVAILABLE,0
SEC_STD01_A_R05_S37,SEC_STD01_A,5,R05-S37,VIP,AVAILABLE,0
SEC_STD01_A_R05_S38,SEC_STD01_A,5,R05-S38,VIP,AVAILABLE,0
SEC_STD01_A_R05_S39,SEC_STD01_A,5,R05-S39,VIP,AVAILABLE,0
SEC_STD01_A_R05_S40,SEC_STD01_A,5,R05-S40,VIP,AVAILABLE,0
SEC_STD01_A_R05_S41,SEC_STD01_A,5,R05-S41,VIP,AVAILABLE,0
SEC_STD01_A_R05_S42,SEC_STD01_A,5,R05-S42,VIP,AVAILABLE,0
SEC_STD01_A_R05_S43,SEC_STD01_A,5,R05-S43,VIP,AVAILABLE,0
SEC_STD01_A_R05_S44,SEC_STD01_A,5,R05-S44,VIP,AVAILABLE,0
SEC_STD01_A_R05_S45,SEC_STD01_A,5,R05-S45,VIP,AVAILABLE,0
SEC_STD01_A_R05_S46,SEC_STD01_A,5,R05-S46,VIP,AVAILABLE,0
SEC_STD01_A_R05_S47,SEC_STD01_A,5,R05-S47,VIP,AVAILABLE,0
SEC_STD01_A_R05_S48,SEC_STD01_A,5,R05-S48,VIP,AVAILABLE,0
SEC_STD01_A_R05_S49,SEC_STD01_A,5,R05-S49,VIP,AVAILABLE,0
SEC_STD01_A_R05_S50,SEC_STD01_A,5,R05-S50,VIP,AVAILABLE,0
SEC_STD01_A_R05_S51,SEC_STD01_A,5,R05-S51,VIP,AVAILABLE,0
SEC_STD01_A_R05_S52,SEC_STD01_A,5,R05-S52,VIP,AVAILABLE,0
SEC_STD01_A_R05_S53,SEC_STD01_A,5,R05-S53,VIP,AVAILABLE,0
SEC_STD01_A_R05_S54,SEC_STD01_A,5,R05-S54,VIP,AVAILABLE,0
SEC_STD01_A_R05_S55,SEC_STD01_A,5,R05-S55,VIP,AVAILABLE,0
SEC_STD01_A_R05_S56,SEC_STD01_A,5,R05-S56,VIP,AVAILABLE,0
